Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.1835,0.1487,0.3825,0.0669,-1.1371,-0.1166,-0.381,0.5615,0.4688,0.5655,37.5809,6.4697,36.6928
-0.1664,0.1516,0.3612,0.0723,-1.1392,-0.1177,-0.3798,0.5597,0.4698,0.5673,37.5809,6.4697,36.6928
-0.225,0.1666,0.3963,0.0787,-1.1403,-0.1177,-0.3784,0.558,0.4706,0.5691,37.5809,6.4697,36.6928
-0.275,0.1723,0.3723,0.084,-1.1414,-0.1177,-0.3771,0.5563,0.4715,0.571,37.5809,6.4697,36.6928
-0.2375,0.1517,0.3389,0.0946,-1.1414,-0.1188,-0.3757,0.5546,0.4724,0.5728,38.2782,7.1686,36.6928
-0.2515,0.1763,0.3179,0.0978,-1.1371,-0.1166,-0.3744,0.5529,0.4733,0.5746,38.2782,7.1686,36.6928
-0.208,0.1448,0.3365,0.1021,-1.136,-0.1177,-0.373,0.5512,0.4741,0.5765,38.2782,7.1686,36.6928
-0.204,0.1224,0.2857,0.1096,-1.135,-0.1199,-0.3716,0.5495,0.4749,0.5783,38.2782,7.1686,36.6928
-0.2177,0.1363,0.2969,0.1117,-1.1318,-0.1166,-0.3702,0.5479,0.4757,0.5801,38.9771,7.8674,35.3333
-0.234,0.105,0.2303,0.1149,-1.1286,-0.1156,-0.3688,0.5462,0.4765,0.5819,38.9771,7.8674,35.3333
-0.2249,0.084,0.2742,0.1223,-1.1254,-0.1156,-0.3674,0.5445,0.4772,0.5838,38.9771,7.8674,35.3333
-0.228,0.0779,0.2695,0.1245,-1.1222,-0.1113,-0.366,0.5429,0.478,0.5856,38.9771,7.8674,35.3333
-0.2214,0.004,0.2253,0.1266,-1.1211,-0.1049,-0.3646,0.5412,0.4787,0.5874,38.9771,7.1686,31.9351
-0.1695,0.0031,0.2522,0.1277,-1.1169,-0.0996,-0.3632,0.5396,0.4795,0.5891,38.9771,7.1686,31.9351
-0.1849,-0.0519,0.2267,0.1298,-1.1147,-0.0975,-0.3618,0.5379,0.4802,0.5909,38.9771,7.1686,31.9351
